start_time,peak_time,end_time,peak_flux,goes_class,duration_sec,background,date,peak_datetime
778724526.291523,778724658.291896,778724831.292375,8.949787115852814e-06,C,306.0,4.3460845517984126e-06,2024-09-04,1994-09-05T00:24:18.291896+00:00
778766738.4093449,778767062.4102509,778767068.410268,8.072791388258338e-06,C,331.0,4.377903678687289e-06,2024-09-05,1994-09-05T12:11:02.410251+00:00
778773866.4291769,778774128.4299029,778774170.43002,9.318541742686648e-06,C,305.0,4.665417236537905e-06,2024-09-05,1994-09-05T14:08:48.429903+00:00
778778152.4410939,778778707.442637,778778707.442637,1.1510254807944875e-05,M,556.0,4.782381893164711e-06,2024-09-05,1994-09-05T15:25:07.442637+00:00
778785684.462049,778786075.4631239,778786082.463148,3.861798177240416e-06,C,399.0,1.0395944372021404e-07,2024-09-05,1994-09-05T17:27:55.463124+00:00
778794705.4870249,778794936.487664,778794963.4877399,6.739205218764255e-06,C,259.0,4.7503617679467425e-06,2024-09-05,1994-09-05T19:55:36.487664+00:00
778798249.4968619,778798570.497754,778798772.4983109,2.9164193620090373e-05,M,524.0,5.561523266806034e-06,2024-09-05,1994-09-05T20:56:10.497754+00:00
778814581.542271,778814747.5427289,778814863.543049,1.3912817848904524e-05,M,283.0,6.562269845744595e-06,2024-09-05,1994-09-06T01:25:47.542729+00:00
778833404.594895,778833555.59532,778833660.595614,6.636172201979207e-06,C,257.0,4.39871610069531e-06,2024-09-05,1994-09-06T06:39:15.595320+00:00
778851343.644939,778851541.645492,778851592.64563,4.636375251720892e-06,C,250.0,3.2195509902521735e-06,2024-09-05,1994-09-06T11:39:01.645492+00:00
778860987.6717579,778861061.6719669,778861268.67254,5.86417490922031e-06,C,282.0,4.493011601880426e-06,2024-09-06,1994-09-06T14:17:41.671967+00:00
778868133.691639,778868408.6924059,778868409.692408,5.359847818908747e-06,C,277.0,3.735938435056596e-06,2024-09-06,1994-09-06T16:20:08.692406+00:00
778872159.70283,778872355.703373,778872533.7038699,3.4199322271888377e-06,C,375.0,1.029790297479849e-07,2024-09-06,1994-09-06T17:25:55.703373+00:00
778874035.7080289,778874146.7083379,778874294.7087489,8.096548299363349e-06,C,260.0,4.521947175817331e-06,2024-09-06,1994-09-06T17:55:46.708338+00:00
778927679.857472,778927892.858068,778927930.858174,7.418992026941851e-06,C,252.0,5.50824688616558e-06,2024-09-06,1994-09-07T08:51:32.858068+00:00
778958625.943573,778958849.9441999,778958991.9445909,3.985945113527123e-06,C,367.0,1.110042617824547e-07,2024-09-07,1994-09-07T17:27:29.944200+00:00
779015743.1026529,779015999.103369,779016243.104049,7.316107712540543e-06,C,501.0,4.395628366182791e-06,2024-09-07,1994-09-08T09:19:59.103369+00:00
779045081.1842849,779045321.184951,779045432.185259,2.25867506742361e-06,C,352.0,1.028846128292571e-07,2024-09-08,1994-09-08T17:28:41.184951+00:00
779080477.282629,779081051.2842339,779081052.284233,1.3043478247709572e-05,M,576.0,3.201543222530745e-06,2024-09-08,1994-09-09T03:24:11.284234+00:00
779131506.42494,779131855.425903,779131863.425928,1.2350644283287693e-05,M,358.0,1.2363925350200589e-07,2024-09-09,1994-09-09T17:30:55.425903+00:00
779166126.5211099,779166353.5217459,779166365.521778,5.27631391378236e-06,C,240.0,4.887228442385094e-06,2024-09-09,1994-09-10T03:05:53.521746+00:00
779217969.665692,779218231.6664209,779218305.666621,3.4881345527537633e-06,C,337.0,1.122812420817354e-07,2024-09-10,1994-09-10T17:30:31.666421+00:00
779218938.668378,779219202.669112,779219204.669111,6.203436896612402e-06,C,267.0,4.512595751293702e-06,2024-09-10,1994-09-10T17:46:42.669112+00:00
779238244.7219039,779238645.723014,779238646.723015,4.983945927961031e-06,C,403.0,3.179255372742773e-06,2024-09-10,1994-09-10T23:10:45.723014+00:00
779254762.767957,779255228.7692629,779255265.7693659,1.613233507669065e-05,M,504.0,4.296083716326393e-06,2024-09-10,1994-09-11T03:47:08.769263+00:00
779263044.7911489,779263284.791819,779263284.791819,3.940809165214887e-06,C,241.0,3.0288547350210138e-06,2024-09-10,1994-09-11T06:01:24.791819+00:00
